target,subject
1,Life Insurance - Why Pay More?
0,Product
0,Re[2]: Selling Wedded Bliss (was
0,Re: ALSA (almost) made easy
1,"Say ""Goodbye"" to the 9-5 yhe"
1,DANIEL KARGBO. fork !
0,Re: [ILUG]
1,"Do it now , you'll be hot this summer"
0,RE: [ILUG] Backup solutions
0,CD player UI for toddlers
0,A&L Daily to be auctioned in bankruptcy
0,Re: GConf registry (was
0,[Spambayes] can't write to CVS...
1,nokia cell users 24128644332
1,new extensions now only $14.95
0,dumb question: X client behind a firewall?
1,Who Do You Trust?
1,Buy 1 get 2
0,Re: [Razor-users]
0,vkatalov@elcomsoft.com: Security warning draws DMCA threat
0,Re[2]: Selling Wedded Bliss (was
0,Re: Avast there matey
1,to the heaven gjOQ1LUGEh3axIEp2anbbYD
0,"Re: Elliptic Curve Point Counting, made easy"
1,Please help Home Entertainment Companies with Survey - Win a DVR!
0,Re: Bits from the job front...
0,[use Perl] Headlines for 2002-10-02
1,This product appeals to all DVD lovers 9959GLXz3-738HFdN8831kbee5--25
0,[ILUG]
1,Look What Sandy is Doing in her DORM!!
0,Re: [Razor-users] keep submitting known spam?
0,NYTimes.com
0,Re: [ILUG] converting strings of hex to ascii
0,Irish Internet Users subscription notification
0,Re: [ILUG] expanding a string multiple times
1,Your application is below. Expires July 27.
0,If you like graphic novels/comics
0,Two questions
1,Re: Ink Prices Got You Down? 11956
0,Re: New testing packages
0,Re: Selling Wedded Bliss (was
0,"Don't do the brown WiFi, the brown WiFi is BAD"
1,"The Government Grants You $25,000!"
0,The History of Medicine
0,Luggage falls from plane onto Salvation Army scattering used clothing everywhere
0,TrackBack for OSXCON
0,Re: [SAdev] 2.40: ready for release? *NO*
0,Big Five record companies guilty of price fixing
0,Re: [ILUG-Social] Completely silent pc
0,Re: The MIME information you requested (last changed 3154 Feb 14)
1,:: Fast Acting Viagra
0,[SAtalk] help with postfix + spamassassin
0,Re: RH 8 no DMA for DVD drive
0,NYTimes.com
0,Re: [ILUG] Piping to multiple processes (which might die)?
0,Ministers issue gag orders for MI5 trial
0,Re: [ILUG] inputting chinese characters in Redhat 7.3
1,ADV: Legal services for pennies a day! eolnt
0,The MIME information you requested (last changed 3154 Feb 14)
0,FW: Bush blew take two
0,Re: Limbo beta 2 ?
1,"Best Price on the netf5f8m1 (suddenlysusan@Stoolmail.zzn.com) on Tuesday, July 30, 2002 at 17:07:56 : Why Spend upwards of $4000 on a DVD Burner when we will show you an alternative that will do the exact same thing for just a fraction of the cost? Copy your DVD's NOW. Best Price on the net. Click here: http://002@www.dvdcopyxp.com/cgi-bin/enter.cgi?marketing_id=dcx009 Click to remove http://003@www.spambites.com/cgi-bin/enter.cgi?spambytes_id=100115"
1,17 mln US Businesses on CD ++
1,Toners and inkjet cartridges for less.... BBNF
1,Make Huge Profits on eBay 951
1,Re: Super CHARGE your desktop or laptop today! 17639
0,[Spambayes] test sets?
0,Gearheads and bunnyhuggers in the OED
0,Re: [ILUG] vanquishing the daemons of shell scripting
0,Re: [SAdev] Scoring Yahoo Ads
0,Re: [ILUG] vanquishing the daemons of shell scripting
0,Re: boycotting yahoo
1,"""BidsToGo"" is places to go, things to do"
0,No more spell-check
0,Re: [SAtalk] O.T. Habeus -- Why?
0,RE: Comrade Communism (was
0,Re: ActiveBuddy
1,Protect Your Computer With Norton Systemworks 2002
0,[zzzzteana]
0,[ILUG] mutt replies
1,Guaranteed Best Mortgage Rate
0,Exmh && speed
0,[Spambayes] spambayes package?
0,Quantum cryptography takes to the skies
1,"Hi Kathy, are you and your friend coming over? A"
0,[use Perl] Stories for 2002-10-07
1,fwd: SYSTEMWORKS CLEARANCE SALE_ONLY $29.99
0,Re: Ximian apt repos?
1,Commissions Too High to Publish
0,Re: [ILUG] 3c509 & 2.4.19 problems
0,"Hollywood out of crack, has started smoking tiling grout: ""Grease 3"""
1,Fw: Impress your friends with your new Diploma XDKOR
1,"ADV: Extended Auto Warranties Here hvgxs Protect your financial well-being. Purchase an Extended Auto Warranty for your Car today. CLICK HERE for a FREE no obligation quote. http://ww3.onlineisbest.com/warranty/ Car troubles always seem to happen at the worst possible time. Protect yourself and your family with a quality Extended Warranty for your car, truck, or SUV, so that a large expense cannot hit you all at once. We cover most vehicles with less than 150,000 miles. Buy DIRECT! Our prices are 40-60% LESS! We offer fair prices and prompt, toll-free claims service. Get an Extended Warranty quote for your car today. Warranty plan also includes: 1) 24-Hour Roadside Assistance. 2) Rental Benefit. 3) Trip Interruption Intervention. 4) Extended Towing Benefit. CLICK HERE for a FREE no obligation quote. http://ww3.onlineisbest.com/warranty/ --------------------------------------- To easily remove your address from the list, go to: http://ww3.onlineisbest.com/stopthemailplease/ Please allow 48-72 hours for removal."
1,=?Big5?B?s8y3c6V4xles2aR1sNOmV7/9LTEtMTY3LQ==?=
0,spamassassin mailbox delivery problem
0,Re: lifegem
1,[ILUG] Seeking Your Partnership
0,[use Perl] Stories for 2002-08-20
1,Get into that summer look
0,Re: The Curse of India's Socialism
0,[Spambayes] Deployment
0,[zzzzteana] FWD (SK)
0,FW: Wanna buy a nuke?
0,Re: gentoo 0.11.28 is out..
1,Do you have enough money for all your bills? [qmpyq]
1,Family health care - $49/month - Everyone qualifies
0,Re: Anolther sequence related traceback
0,Re: Slaughter in the Name of God
0,RE: Re[2]: Goodbye Global Warming
0,Education debate
1,[ILUG] Create a PAYCHECK with your COMPUTER and Enjoy Cheap ISP & shopping Discount.
0,"the captain has turned off the ""no hittin' it"" sign"
0,Re: The Curse of India's Socialism
1,A CRY FOR HELP
0,Re: Comrade Communism (was
1,=?gb2312?q?=C6=FB=B3=B5=A1=A2=BD=BB=CD=A8=D0=D0=D2=B5MBA_?=
1,Re: Ink Prices Got You Down? 11956
0,Re: New Sequences Window
0,"""Free"" Elvis Costello CD a trojan horse for DRM malware"
0,Re: [Razor-users]
0,The subtle art of sugaring bitter pills goes down well
0,Re: SF Weekly's Ultimate SF Date lineup :-)
0,[Razor-users] Authentication Error
0,[Spambayes] understanding high false negative rate
1,HIZLI & SINIRSIZ sex
1,Get Debts Off Your Back -
1,"yyyy,Do You Know the HGH Differences ?"
1,Something EVERY Business Needs! [6ywab]
1,BANNED CD! BANNED CD!
0,Family refuses to cancel expensive wedding just because the groom was in a coma and got his brother to stand-in instead
0,How to end the war....
1,"RE: 6.25 30 YR Fixed Home Loan, No Points flu"
1,America's Most Liberal Lenders 0137Cpnx4-448G-13
0,Support for Iraq action at new low of 32%
1,"WWW Form Submission Below is the result of your feedback form. It was submitted by (jamie@msn.com) on Tuesday, August 27, 2002 at 22:26:56 --------------------------------------------------------------------------- :: <A HREF=""http://www.pornhere.net"">click here</A>Don't want to pay for Porn? Would you like to get it for FREE? The Honest, No Risk 100% Free Way? If you take a couple of minutes and read through our simple guide you will be able to get Free Passes to the top Paysites online!<A HREF=""http://www.pornhere.net"">click here</A> ---------------------------------------------------------------------------"
0,Re: Java is for kiddies
1,Attn: Buying ink online is the way to go! 12083
1,[WM] (no subject)
0,Re: exmh bug?
1,Are you ready for 10/5/2002?
0,Cosmic polarisation detected from South Pole
0,RE: Goodbye Global Warming
0,[SAdev] [Bug 886] Add a rule to detect Content-type message/partial
0,[Razor-users] Change timeout setting???
0,I'm a tad furry...
1,bank inheritance
1,Never Pay eBay Fees Again!!!!
1,FWD:Direct marketing is working 16889
0,RE: Goodbye Global Warming
1,"GET OVER $500 CASH in 2 minutes!!! Below is the result of your feedback form. It was submitted by (mike@winners.com) on Tuesday, July 30, 19102 at 03:48:23 --------------------------------------------------------------------------- message: GET OVER $500 DOLLARS CASH!!! Just Click Here!!!! - http://www.reelten.com/redirect/500/index.htm - If you have received this Email in error please contact: lon_chaney_jr@hotmail.com with subject: remove. ---------------------------------------------------------------------------"
1,YOUR BIBLE ANSWERS ON CD-ROM ..4658
1,* You CAN have the best MORTGAGE rate * 10469
1,Welcome to www.internationafreecall.com
0,Fight Piracy -- Regulate Potty Chairs!
0,[Spambayes] test sets?
0,The boy for Brazil?
0,[ILUG] Tracking NFS users
0,"""requires:"" and relational operators"
0,Random hack
0,[use Perl] Stories for 2002-08-14
1,"Ou Wei Lighting,Nights Will Be Lightening!"
0,Re: Avast there matey
1,$99 for 5 Nights in Magical Orlando with 2 Disney Tickets
0,Re: Tiny DNS Swap
1,YOU MAY WANT TO LOOK INTO FUNDING FROM GRANTS....
0,Re: ActiveBuddy
0,Re: Anolther sequence related traceback
0,W3C approves HTML 4 'emotitags' - Now you'll be able to say it with feeling
0,Re: [SAtalk] SpamAssassin v2.40 released (finally)!
0,Rail crash bereaved sue over line safety
0,Re: use new apt to do null to RH8 upgrade?
0,Re: xine src package
0,Re: [SAdev]
0,Re: [ILUG] How to copy some files
0,Man leads machine in chess duel
1,"$16.99 per 500,000 verified email addresses"
1,FW: FOCUS ON VALUE
1,merchant info 3115107654333222221111
0,West Coast port closures may cancel Christmas.
0,apt-get problem ?
1,"* FREE Real Estate Info! * <html> <head> <title>Foreclosure Toolkit</title> <meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1""> <style type=""text/css""> <!-- td { font-family: Arial, Helvetica, sans-serif} --> </style> </head> <body> <p>Great News webmaster,</p> <p><b>FINALLY - A Foreclosure Tycoon Reveals His Most Closely Guarded Secrets! </b><br> <br> For the first time ever, we are proud to bring you Foreclosure's most closely guarded secrets - a complete, turn-key system to either owning your own home or making a fortune in Foreclosure Real Estate without tenants, headaches and bankers. <br> <br> FREE information for a revolutionary brand-new approach to show you exactly how to buy a foreclosure or make a fortune in foreclosure real estate in today's market.<br> <br> Are you ready to take advantage of this amazing information?<br> webmaster, take this first step to improving your life in the next 2 minutes!</p> <p><b>For <font color=""#FF0000"">FREE</font> Information <a href=""http://www.foreclosureworld.net/cgi-bin/click.cgi?c=12""> Click"
0,Space probe kit will fight terrestrial crime
0,2.40 release procedure (why not give it a read)
1,"MEN & WOMEN, SPRUCE UP YOUR SEX LIFE! GDOZ"
0,<strong>More AmphetaDesk Reviews</strong>
0,Distributed.net cracks the RC5-64 cipher
0,[ILUG] Alan Cox doesn't like 2.5 so far!
0,Re: Selling Wedded Bliss (was
1,Have Tax Problems? [rjgu10]
0,Re: [ILUG] inputting chinese characters in Redhat 7.3
1,Re: Here is your Free Access
0,Black entrepreneurs 'face bank bias'
1,iiu.taint.org
0,Re: [ILUG] hwclock
0,Re: Insert signature
0,Re: [ILUG] rpm dependencies
0,"Re: [zzzzteana] Save the planet, kill the people"
0,"Re: advice on 7.3.92 to 7.3.93, and Apt compiling"
0,Re: bad focus/click behaviours
0,[use Perl] Stories for 2002-07-24
0,RE: [ILUG] doolin
1,Expand Your Business! [wz6lo]
1,Herbal Viagra 30 day trial...
1,more site sales 5427181310976654443333322
1,ADV: Harvest lots of E-mail addresses quickly !
0,[use Perl] Headlines for 2002-08-14
1,Secretly Record all internet activity on any computer... C
0,We're trying to decide if FogBUGZ 3.0 should support custom fields. Histor
1,Is your nest egg cracking? 2617iWcH6-263-12
0,Dooce
0,CNN Headline
1,RE:More info/grant money
1,You've Won! Confirmation Number 567842
1,Thank You So Much 126432211111
1,Blossom breast enhancement
0,"Get your own genome, feed your hypochondria"
0,Re: [ILUG] Sysadmin / IT person wanted
0,Re: [SAdev] Debug Support Feature
0,Re: [SAtalk] telesp.net.br?
0,Re: [ILUG] gargnome & sawfish..
1,MULTIPLY YOUR CUSTOMER BASE!
1,Spend less gas per mile on your car this Summer...
0,[ILUG] The Age Old 'Which Mailer' Question
0,Re: [Razor-users] Problem with Razor 2.14 and Spamassassin 2.41
0,Re: Problem building lame-3.92-fr5.src.rpm on RH8
0,[SAdev] [Bug 1046] Errors from 'perl Makefile.PL'
0,[zzzzteana]
1,Don't get caught by rising interest rates.
1,How Does Unlimited Free Calling Work?
1,"The last time you spent $25 did you make $100,000,s? Nows your Chance!"
0,Re: RedHat 8.0 and his own freetype
0,Colophon 1
0,Re: It's a small world
0,Re: Python 2.2 site libs?
0,[zzzzteana] FWD (SK) Japanese tentacle porn [was
0,[Spambayes] understanding high false negative rate
1,Delete your Bad Credit Online! 1471
1,Custom sites or site redesigns $399
0,Re: Recommended Viewing
1,I thought it was important YMF
0,Re: RH 8 no DMA for DVD drive
1,Low cost quality conference calls
0,tmda (was:
0,Re: bad focus/click behaviours
0,Re: [ILUG] How to copy some files
0,RE: [Baseline] Raising chickens the high-tech way
1,New Stock
0,Re: [IIU] OCTR unlicensed band changes ...
1,Have skin like a model
0,[ILUG] Strange ssh problem
0,Re: An Engineer's View of Venture Capitalists
0,Re: Sorting
0,Re: [ILUG] putty + proxy goodness
1,REQUEST FOR ASSISTANCE
0,[use Perl] Headlines for 2002-09-24
0,Re: Al'Qaeda's fantasy ideology: Policy Review no. 114
1,Custom Software Development Services Available Right Now..
0,Re: [SAdev] [Bug 735] spamassassin -t lies
1,An Untapped Market = An Easy Sale
0,RE: Hanson's Sept 11 message in the National Review
1,best mortgage rate GZRHTKJ
0,Re: Asteroids anyone ?
0,[Spambayes] understanding high false negative rate
1,"ADV: Professional Teeth Whitening At Home! ovcnd Whiter teeth and a brighter smile are just a click away! http://www.newnamedns.com/dental/ Have you considered professional teeth whitening? If so, you know it usually costs between $300 and $500 from your local dentist! Visit our site to learn how to professionally whiten your teeth, using the exact same whitening system your dentist uses, at a fraction of the cost! We know our product is the best on the market, and we back it with a 30 day money back guarantee! Click here to find out more! http://www.newnamedns.com/dental/ --------------------------------------- To easily remove your address from the list, go to: http://www.newnamedns.com/stopthemailplease/ Please allow 48-72 hours for removal."
0,RE: Wifi query
0,Conversations From GDC
0,RE: [ILUG] Backup solutions
1,Record Low MORTGAGE rates! *Act Now* 16533
1,Real Money Maker for Real! Dear Friends & Future
0,And Away We go
1,"!Gorgeous,Custom Websites - $349 Complete! (9009zRlD0-486vNhZ47@18)"
0,[zzzzteana] Nobel astrophysicists
1,Asian Lesbo Sluts! 22337
0,Slashdot reports that Amazon still wants to patent the Web.
1,Herbal Viagra 30 day trial.... S
0,[ILUG] SUSE 8 disks? (thread changed slightly)
0,Kanu at the double
1,Toners and inkjet cartridges for less.... GHOE
0,OpenGL
1,DON'T LET A COMPUTER VIRUS RUIN YOUR DAY! 12879
0,Re: sed /s/United States/Roman Empire/g
0,Re: The Curse of India's Socialism
1,HOME REPS WANTED-FORTUNE 500 COMP HIRING
0,Re:
1,Z-app Your Term Life Business
0,[Razor-users]
1,Email & Fax Directory $99.95 100 million email addresses
0,Re: [ILUG] How to copy some files
0,Re: sprint delivers the next big thing??
0,[ILUG] Mirror a website
1,Ireland's first great World Cup result
0,1987 copy of Nintendo zine going for $700 on eBay
0,Digital service launches with 30 free channels
0,[SAtalk]
1,. jif
0,earthviewer apps
0,Re: [ILUG] Autorun CDs
0,FW: [ILUG] Using Normal IDE Device with a Dell Latitude CPx lapto p
0,RE: [ILUG]
0,Re: USA USA WE ARE NUMBER ....six.
0,"9/11, war in Iraq threaten Disney parks"
0,RE: [ILUG] mirroring on a running system
0,RE: Headline - Navel gazing wins an Ig Nobel
0,Re: [SAtalk]
1,Life-Time upgrades for FREEq4i1i6p8
1,Joke of the Day!
0,[zzzzteana] Plumstead Panther - Pictures!
0,Re: How to add service port ?
1,Call me 08568
1,Your Commissions of $5000 per WEEK! ssva
0,My OS X Keynote
0,[Razor-users]
0,Re: sed /s/United States/Roman Empire/g
0,Re: The GOv gets tough on Net Users.....er Pirates..
1,Half Price Cigarettes and Tobacco
0,Shelley Powers raises some interesting questions re whether RDF has a place
1,Welcome to OfferClub!
0,Hype is all for tired old Panorama
1,cell phone ring tones 84221111000000
0,Re: Slaughter in the Name of God
0,[SAtalk] Tru64 compile of SA
0,Re: The Curse of India's Socialism
0,people we know on the web
0,Acopia Networks?
1,Fw: Want to Save yourself a trip to the store? 17579
1,[ILUG] Garden Ornaments | mvcmv
0,Re: Hanson's Sept 11 message in the National Review
0,Re: [ILUG]
1,"ADV: Direct email blaster, email addresses extractor, maillist verify, maillist manager..........."
0,"Re: advice on 7.3.92 to 7.3.93, and Apt compiling"
0,Re: [ILUG] hard- vs. soft-links [was: How to copy some files ]
0,[Razor-users]
0,Re: [SAtalk] Graphics-only spam?
1,Profitable Business Relationship
1,[ILUG] STOP THE MLM INSANITY
0,Re: [SAtalk] getting single-user spam assassin to work in FreeBSD default install
0,Re[2]: A moment of silence for the First Amendment (fwd)
0,RE: Documentation about built-in RPM macros?
0,Paddick backers angry at Met move
1,"When Size DOES Matter, you know where to go. -->"
0,Re: [ILUG] SMTP auth & mutt
0,NYTimes.com
0,[Razor-users]
0,RE: The Disappearing Alliance
1,The best possible mortgage
1,Free Adult Videos
0,Re: [ILUG] SUSE 8 disks? (thread changed slightly)
1,Start now look great this summer
0,RE: [zzzzteana]
1,Your First 100 Free Minutes of Long Distance! Your First 100 Free Minutes of Long Distance!
1,ADV: Legal services for pennies a day! ljnhz
0,[Razor-users] problems with hubris and/or discovery
1,Wishing you a wonderful day
1,11th Convergence India 2003 exhibition & conference
0,Smurfs: The Pasta. Thank Goodness for Chef Boyardee
0,Re: [ILUG] relating data from 2 ascii files ?
0,Re: Ximian apt repos?
0,Re: Benjamin Wallace Higgins
1,"$500,000 Life Policy $9.50 per month. vyw"
0,Microsoft buys XDegress - more of a p2p/distributed data thing...
0,Re: Java is for kiddies
0,Re: [ILUG]
0,Re: DataPower announces XML-in-silicon
0,[Ximian Updates] libpng has a potential buffer overflow when loading progressive images
0,A moment of silence for the First Amendment (fwd)
0,[Spambayes] Deployment
1,discounted motgages 4924161298765444333
1,3.5% fixed payment 30 year loan
0,Re: New Sequences Window
1,Free moneyZDVIJO
1,National Charity Suffering Since 9/11
0,"[Spambayes] deleting ""duplicate"" spam before training? good idea orbad?"
1,"dave,Hi,, extra Low price inkjet cartridges joi"
0,RE: Goodbye Global Warming
0,Re: [ILUG] Sparc Solaris (was: Dell GX260 V Redhat 7.3)
0,[Spambayes] test sets?
0,[Razor-users]
0,[zzzzteana] Betamax finally laid to rest
1,X-Keywords:
1,why does your vehicle make that noise?
0,Re: [SAtalk] O.T. Habeus -- Why?
0,Re: Unseen window versus Sequences Window
0,Re: [ILUG] Formatting a windows partition from Linux
1,Get the lowest possible interest rate for you--GUARANTEED.
0,RE: [Spambayes] New web training interface for pop3proxy
1,ADV: Promote Your Website!
0,Re: And Away We go
0,The 3rd Annual Consult Hyperion Digital Identity Forum
0,[ILUG] [OT]:Bill Gates in Peru
1,3 Locations
0,[SAdev] [Bug 840] spam_level_char option change/removal
1,Your order# 5056
1,Your Shop web site is NOT being SEEN!
1,[scoop] Liseli kayit
0,Re: revocation of grlygrl201@
0,Re: [Baseline] Raising chickens the high-tech way
0,Re: [SAdev] Spam added to regular email
0,"Re: Our friends the Palestinians, Our servants in government."
0,Movie Quiz
1,Toners and inkjet cartridges for less.... JRTX
0,RE: [Razor-users] What's wrong with the Razor servers now?
0,Re: HD/ID: High-Def Independence Day
1,Double Your Life Insurance at NO EXTRA COST!... TCTOOM
0,Brown budget plans in disarray
0,Re: Hanson's Sept 11 message in the National Review
0,Phil
0,[Spambayes] Deployment
0,Re: Problem with an rpm...
0,"Bank robber gets the loot, makes it out of bank, shoots self in the junk, gets hit by van, still makes successful escape."
0,Americans are becoming more spiritual
1,"BIZ, .INFO, .COM for only $14.95"
0,Woman finds rubber glove in hamburger bun. Will now sue
0,Re: Problem with my spec file
1,It's real important that you call...
1,Time Share
0,Re: Re[2]: A moment of silence for the First Amendment (fwd)
1,in under 1 minute - we can beat your current rate 38191297
0,RE: [ILUG]
0,[Spambayes] Deployment
0,[ILUG] Dermot Beirne/Dublin/IE/Exel is out of the office.
0,Re: [ILUG] find the biggest file
1,"Day, when dreams come true!"
1,we find yuo the lowest mortgage 562818141198765544433
0,Re: [ILUG] How to copy some files
0,Re: A moment of silence for the First Amendment (fwd)
0,Re: Internet saturation (but not in Iceland)
0,Re: [ILUG] Sparc Solaris (was: Dell GX260 V Redhat 7.3)
0,Tablet PC
1,Re: Instant Quote
0,req: Falcon's eye
1,ADV: Legal services for pennies a day! eolnt
0,Re: EBusiness
0,Re: problems with apt/synaptic
0,Re: DataPower announces XML-in-silicon
0,Not Many OS X Conference Blogs
0,Encryption approach to secure web applications
0,"RE: Our friends the Palestinians, Our servants in government."
0,Re: [Razor-users] False Positives on EFF Messages
1,-- USA Business Search CD --
0,Show-and-tell nearly extinct because it might hurt children's feelings
0,[Spambayes] python.org email harvesting ready to roll
0,Re: NASA mindreading
0,RE: [Razor-users] New to razor
0,Re:
0,Supersonic test plane uses 'wing warping'
0,warchalking
0,Re: [zzzzteana] The Coming Firestorm
0,RE: [Razor-users] Razor with sendmail
0,Re[6]: A moment of silence for the First Amendment (fwd)
1,Re: girls
0,Re: [SAtalk] Microsoft developer newsletter tagged as spam
1,SPS se odrekao Slobodana Milosevica
0,"Photoshop this squirrel tuning in, turning on, and dropping out"
0,Re: making rpms from already-compiled source trees
1,Email Marketing
1,YOUR ANTICIPATED ASSISTANT IS REQUIRED.
0,Re: sed /s/United States/Roman Empire/g
1,Conference calls/best quality/$.18 per minute!
1,Discover InfoByTel Today!
0,Re: RedHat 8.0 and his own freetype
1,Got Cash? [mparu]
1,Toners and inkjet cartridges for less DFI
1,The Ultimate in PC Security and Surveillance.
1,Hello bevstar10
0,"Reuters: ""Pets may not only provide good company for their owners, they may"
0,My Good Easy
0,How unlucky can you get?
0,"ARRRGHHH Had GPG working, now it doesnt."
0,Re: RH 8 no DMA for DVD drive
0,RE: Liberalism in America
1,Introducing Chase Platinum for Students with a 0% Introductory APR
0,Re: spam maps
0,Re:
0,IIU post from emailharvest@email.com requires approval
1,Male & Female Celebs...Nude! 23101
0,[Spambayes] Deployment
0,dvd::rip on Red Hat 8.0?
1,ADV: Low Cost Life Insurance -- FREE Quote aaqnf
0,Re: cvs access working?
1,Teach and Grow Rich
1,You can gain from lowest interest rates in 30 years
0,The Ryder Cup
0,Debian-style task-packages for RH8.0 available
1,Make your prints beautiful & SAVE BIG! 14144
0,Mac OS X browsers
0,Re: [ILUG] Optimizing for Pentium Pt.2
0,Re: problems with 'apt-get -f install'
1,"fork,HGH Liquid! Lose Weight...Gain Muscle...Affordable Youth!"
0,Re: [Baseline] Raising chickens the high-tech way
0,How the other half gives
0,Re: Folder computed replcomps (and replgroupcomps
